term,definition,long_definition,vernacular_definition,note,example
DPP,national council of political party,"* DPP1 is an ackronim of Dewan Pimpinan Pusat (board of political party at national level) DPP2 is an ackronim of dada, pinggang, pinggul (chest, waist, hip measurements. ** DPP3 is an ackronim of Dana Pembinaan Pendidikan (k.o government subsidy to state universities to supplement tuition fees.",,,** Menteri Pendidikan dan Kebudayaan memberi sumbangan DPP ke Universitas Hasanuddin Ujung Pandang
DPR,House of People's Representatives.,(Dewan Perwakilan Rakyat) House of People's Representatives.,,,
DPRD,People's Regional Representative Council.,(Dewan Perwakilan Rakyat Daerah) Peolpe's Regional Representative Council.,,,
drama,"drama. MEN--KAN: dramatize. PEN--AN, PER--AN: dramatization.","drama. MEN--KAN: dramatize. PEN--AN, PER--AN: dramatization.",Cerita yang dilakonkan dalam suatu pertunjukan/teater; suatu kejadian yang menyedihkan.,,PENDRAMAAN cerita Sam Pek dan Eng Thay itu tidak dilakukan dengan baik.
drastis,drastic,drastic,,,Dia dapat menurunkan berat badannya dengan DRASTIS
dua,"two. MEN--HATIKAN: arouse hesitation, doubt. Also MEN--KALIKAN, KEMEN--AN.","two. *MEN--HATIKAN: arouse hesitation, doubt. *MEN--KALIKAN: double s.t. KEMEN--AN: indecisiveness.",,,Jangan melebih-lebihkan dan MENDUA-KALIKAN hal yang sudah pasti.
dubang,spittle.,spittle.,,,
Dubes,"""Duta Besar,"" meaning ambassador","contraction of ""Duta Besar,"" meaning ambassador.",,,
duda,widower,widower *MEN--: a widower,,,"Setelah tiga bulan dia MENDUDA, Pak Susanto kawin lagi"
duduk,"sit; live, reside. BER-: be seated. Also MEN--I, MEN--KAN, KE--AN, +","^1 sit. 2 live, reside. BER-: be seated. *MEN--I: 1 sit on. 2 occupy a territory. *MEN--KAN: seat s.o. *KE--AN: 1 situation, state. 2 position. PEN-: inhabitant.",Meletakkan tubuh dari pantat keatas tegak lurus pada suatu tempat.,,Dia jatuh dari KEDUDUKANnya yang sudah tinggi karena korupsi.
duga,"MEN-: guess, estimate. -AN: guess, hunch.","MEN-: guess, estimate. -AN: guess, hunch.",kira; prasangka.,,DUGAAN mengenai siapa pelaku perkosaan itu ternyata salah.
duillah,Good Heavens!,Good Heavens!,"Kata seru karena kaget, kagum, terkejut, dll.",,DUILLAH berani benar dia terjun bebas begitu!
duit,"money. BER-: well-to-do, wealthy.","^money. *BER-: well-to-do, wealthy.",Alat penukar yang terbuat dari kertas atau logam. Sinonim: uang.,,Walaupun dia BERUANG banyak tetapi dia tidak sombong.
duka,"grief, sorrow. BER-: be sad or sorrowful. KE--AN: sorrow, misery.","^grief, sorrow. BER-: be sad or sorrowful. KE--AN: sorrow, misery. *--CITA: condolesence, sorrow, sorry, sadness, grief.",Perasaan tidak bahagia; susah; sedih.,,Tiada henti-hentinya KEDUKAAN menimpa keluarga itu.
dukacita,deep sorrow. BER-: to grieve deeply.,deep sorrow. BER-: to grieve deeply.,Rasa kesedihan yang mendalam.,,Kami turut BERDUKA cita atas terjadinya tragedi itu.
duku,fruit lanseh of lanseh tree,fruit lanseh of lanseh tree,,,
dukun,"indigeneious medical practitioner, shaman. Also KE--AN.","^*indigeneous medical practitioner, shaman. KE--AN: having to do with shamanism.",Orang yang pekerjaannya mengobati orang sakit secara traditional.,,DUKUN itu sangat terkenal di daerah ini.
dukung,"BER-: to be carried on the back or hip (like a child). Also MEN-, PEN--AN.","BER-: to be carried on the back or hip (like a child). MEN-: 1 to carry on the back or hip. 2 to support, endorse. PEN--AN: supporting or endorsing a given side in an issue.",Duduk dipunggung atau dipinggang orang lain.,,Cara PENDUKUNGAN itu tidak sah menurut undang-undang.
dulu,"previous(ly), before (now).","*previous (ly), before (now).",dahulu,,"Saya pergi DULU, ya?"
dungu,"stupid, retarded.","stupid, retarded.",,,
dunia,world; (Biol.) kingdom.,^*1 world. 2 (Biol.) kingdom.,Bumi dengan segala hal yang ada di sekitarnya.,,Orang yang baik hati akan selamat DUNIA dan akherat.
duplikat,"duplicate, carbon copy","duplicate, carbon copy.",,,Kamu harus membuat DUPLIKAT bukti pembayaran ini
DUPPA,The Bureau for the Protection and Preservation of Nature.,(Dinas Urusan Perlindungan dan Pelestarian Alam) The Bureau for the Protection and Preservation of Nature.,,,
durhaka,"rebellious, impertinent. BER-: rebel, be impertinent. Also KE--AN, PEN-, +","rebellious, impertinent. BER-: rebel, be impertinent. KE--AN: rebelliousness. PEN-: rebel. PEN--AN: rebellion.","Tidak patuh pada perintah (Tuhan, orang tua).",,Anak PENDURHAKA itu memang patut dihukum cambuk.
duri,"thorn, burr, spine; fish bone. MEN-: sharp, stinging (remarks, etc.).","^1 thorn, burr, spine. 2 fish bone. *MEN-: sharp, stinging (remarks, etc.).",Bagian tumbuhan di cabang yang runcing dan tajam.,,Semua perkataanmu sangat MENDURI HATI saya akhir-akhir ini.
durian,"durian, k.o. large tropical fruit.","durian, k.o. large tropical fruit.","Nama buah dari pohon durian yang berkulit keras dan berduri, biasanya berukuran kira-kira sebesar kepala orang. Isi buah ini empuk dan manis beraroma khas.",,Kulit buah DURIAN berduri
dusta,"lie, falsehood. PEN-: liar.","lie, falsehood. PEN-: liar.",,,
dusun,village far from urban areas. PE--AN: village hinterlands.,^village far from urban areas. *PE--AN: village hinterlands.,Sinonim: desa.,,Desa ini termasuk dalam wilayah PEDUSUNAN Sunda.
duta,"ambassador, envoy. KE--AN: embassy. PER--AN: delegation, mission.","^ambassador, envoy. *KE--AN: embassy. PEN--AN: delegation, mission.",Utusan.,,Kantor KEDUTAAN Indonesia di Chicago terdapat di jalan Michigan.
duta besar,ambassador,"ambassador; envoy, plenipotentiary",,,Ayahnya pernah menjadi DUTA BESAR Indonesia di Amerika Serikat
duyun,"to throng, flock, crowd.","to throng, flock, crowd.",,,
e,Ha!; Hey!,^*1 Ha! (emphatic particle). 2 Hey! (interjection to attract attention or to express astonishment).,Hal untuk menyapa seseorang yang tidak diketahui namanya (hal yang kurang sopan dilakukan pada orang yang lebih tua).,,what's up?
ebi,dried shrimp,dried shrimp,Biasanya hanya udang kecil yang dikeringkan yang disebut ebi,,Nelayan di pantai Barombong memsuplai EBI untuk konsumsi orang-orang di perkotaan
ece,make a fool,"*MENG-: make a fool, make fun of, kid -AN: kidding, fooling",,,*Dia MENGECE adiknya sampai menangis
ecer,"MENG-(-KAN): sell retail. -AN: retail, price of a single item. PENG-: retailer.","^*MENG-(-KAN): sell retail, sell individually. *-AN: retail, price of a single item. PENG-: retailer.",Melakukan sesuatu secara sedikit-sedikit.,,Harga ECERAN barang ini lebih mahal dibanding dengan harga per lusin.
edan,"wild, frantic","*1. wild, frantic 2. insane, mad, crazy KE-AN: craziness, foolishness",,,*Anto tidak disukai oleh para tetangganya karena tingkahnya yang EDAN
edar,"BER-: 1. turn, revolve. 2. circulaate. MENG--I: revolve around s.t. PER--AN: +","BER-: 1. turn, revolve. 2. circulate. MENG-KAN: revolve around s.t. PER-AN: 1. rotation. 2. orbit. 3. circulation.",Berkeliling dan kembali ke tempat semula; berpindah-pindah tangan; berlaku di masyarakat.,,PEREDARAN bumi mengelilingi matahari kira-kira selama satu tahun.
edisi,"edition. MENG--KAN: issue, publish.","edition. MENG--KAN: issue, publish.","Majalah, buku, surat kabar, dll., yang diterbitkan.",,Surat kabar ini juga MENGEDISIKAN majalah ilmiah untuk remaja.
edit,edit,*PENG-: editor PENG-AN: editing,,,*Hasan bekerja sebagai PENGEDIT artikel tentang hubungan international di majalah Sarinah
efek,effect.,effect.,akibat; pengaruh.,,Banyak EFEK buruk merokok daripada EFEK baiknya.
efektif,efective,MENG-AN: cause s.t. to be effective *KE-AN: effectiveness PENG-AN: effort to make s.t. effective,,,*Kepala kantor pos yang baru berusaha meningkatkan KEEFEKTIFAN sistem pelayanan pos
efisien,efficient,"*MENG-KAN: render effiecient, maximize the use of s.t. KE-AN: efficiency PENG-AN: effort to make s.t. efficient",,,"Ayahku MENGEFISIENKAN ruang garasi, selain sebagai tempat parkir mobil juga sebagai ruang penyimpanan barang bekas"
efisiensi,efficiency,PENG-AN: effort to make s.t. efficient see efisien,,,
egah,glorious,"MENG-AN diri: glorify o.s., boast",,,
egois,egoist,*1. egoist 2. egoistic KE-AN: egoism,,,*Ratna akan menjadi sangat EGOIS dalam mempertahankan pendapatnya
eja,"MENG-: spell. MENG--KAN: spell out to s.o. -AN, PENG--AN: spelling.","^MENG-: spell. MENG--KAN: spell out to s.o. -AN, PENG--AN: speiing.",Sinonim: lafal.,,Banyak EJAAN yang tidak benar dalam buku itu.
ejawantah,"visible, manifest","(ME)NG-: materialize, become visible *MENG-KAN: manifest, materialize TER-:manifested PENG-AN: manifestation, embodiment, materialization",,,"*Suharto, presiden Indonesia kedua, MENGEJAWANTAHKAN janjinya untuk mundur dari pemerintahan"
ejek,"mock, redicule.","mock, redicule. MENG-: redicule.",Mentertawakan; hina; olok-olok.,,"Karena suka MENGEJEK teman, dia dijauhi banyak orang."
eka,"one, single","1. one, single 2. mono",,,
ekabahasa,monolingual,(Ling.) monolingual,,,
ekamarga,one-way (road),"one-way (traffic, road)",,,Jalan Jenderal Sudirman dirubah menjadi EKAMARGA karena perbaikan listrik
Ekaprasetia-,Ekaprasetia Pancakarsa title of 1978 speech by Suharto,Ekaprasetia Pancakarsa title of 1978 speech by Suharto in which he gave his interpretation of the Pancasila,,,Setiap pelajar di Indonesia diwajibkan mengerti EKAPRASETIA PANCAKARSA
ekologi,ecology,^ecology,,,
ekonom,economist.,economist.,Orang yang ahli dalam bidang perekonomian.,,Para EKONOM sependapat dalam hal itu.
ekonomi,"economy, economics, household management. Also KE--AN, PER--AN.","1. economy. 2. economics. 3. household management. KE--AN, PER--AN: economy, economic matters.","Ilmu tentang keuangan, industri, perdagangan, dll.; urusan keuangan rumah tangga.",,Saat ini PEREKONOMIAN Indonesia sedang berkembang dengan pesat.
ekonomis,"economical. BER-, MENG--KAN: make s.t. economical. KE--AN: frugality.","economical. BER-, MENG--KAN: make s.t. economical. KE--AN: frugality, thriftness.",Hemat; tidak boros; hati-hati dalam hal keuangan.,,KEEKONOMISAN merupakan kunci sukses manajemen kami.
ekor,"tail (of animals, kite, parade, etc.); classifier for animals. Also MENG--I.","^1 tail (of animals, kite, parade, train, etc.). 2 classifier used for animals. *MENG--I: follow, walk behind, tail.",Bagian belakang dari tubuh binatang.,,Tindakanmu hanya MENGEKOR saja pada atasan.
eksekusi,"1. execution, carrying out 2. execution, putting to death","^1. execution, carrying out 2. execution, putting to death *ME-: to execute, to put to death",,,*Beberapa kelompok mahasiswa menuntut agar Suharto dan keluarga di eksekusi
eksemplar,copy (of a book) or issue (of a magazine).,copy (of a book) or issue (of a magazine).,Helai; lembar; sebuah buku; sebuah terbitan; sebuah majalah.,,Setiap minggu majalah ini dicetak sebanyak 10.000 EKSEMPLAR.
ekses,excess.,excess.,Peristiwa yang melampaui batas.,,EKSES dari pemogokan itu banyak merugikan masyarakat.
eksistensi,existence.,existence.,Keberadaan; kehadiran.,,
ekspedisi,"see ekspedisi 1, ekspedisi 2","see ekspedisi 1, ekspedisi 2",,,
ekspedisi,"1. shipping, forwarding 2. mail room (of large institution)","^1. shipping, forwarding 2. mail room (of large institution) *MENG-KAN: send s.t. by private dispatch 2. expedite PENG-AN: forwarding, shipping see ekspedisi2",,,*Saat ini banyak hasil pertanian tidak di ekspor karena ongkos EKSPEDISI semakin mahal
ekspedisi,"1. expedition, jaunt, campaign 2. (Mil.) dispatching of troops","^1. expedition, jaunt, campaign 2. (Mil.) dispatching of troops",,,
eksploitir,exploit.,MENG-: exploit.,Penguasaan/pemanfaatan untuk keuntungan diri sendiri; pendayagunaan.,,Beberapa oknum yang MENGEKSPLOITIR para buruh itu perlu diadili.
ekspor,export. MEN-: export. PENG-: exporter. PENG--AN: exportation.,^export. *MENG-: export. *PENG-: exporter. *PENG--AN: exportation.,Menjual barang dari dalam negeri ke luar negeri.,,PENGEKSPORAN barang ini akan mulai dilakukan bulan depan.
ekspresi,expression.,expression.,Ungkapan atau pernyataan; keadaan raut muka yang menggambarkan suatu perasaan.,,Pada waktu itu kulihat EKSPRESI mukanya sangat marah.
ekstrim,extreme.,extreme.,Sangat keras; fanatik.,,Paham komunis disebut juga sebagai paham EKSTRIM kiri.
elak,"1. avoid doing s.t.; 2. get out of the way; 3. dodge (blow, tax, etc., shirk (o's duty)","*MENG--: 1. avoid doing s.t.; 2. get out of the way; 3. dodge (blow, tax, etc., shirk (o's duty) *MENG--KAN: dodge, shunt to the side *TER--KAN: avoided, avoidable",menghindar dari sesuatu,,Musibah itu tidak TERELAKKAN lagi
elang,eagle,eagle,,,Lambang Amerika Serikat adalah ELANG
elektronika,electronics.,electronics.,Ilmu tentang hal-hal yang berhubungan dengan elektronik.,,Toko itu menjual barang-barang ELEKTRONIKA.
elemen,element.,element.,Bagian dari suatu benda/keseluruhan.,,"Kalau salah satu ELEMEN hilang, radio ini tidak akan berbunyi."
eliminir,eliminate,^eliminate MENG-: eliminate,,,Tentara Nasional Indonesia berusaha keras MENGELIMINIR gerakan mahasiswa
elit,elite.,elite.,,,Ini mobil untuk kalangan ELIT.
elok,"1. beautiful, lovely 2. good","*^1. beautiful, lovely 2. good MENG-KAN, MEMPER: beautify KE-AN: beauty",,,*Truly mempersembahkan tari-tarian yang ELOK
elpiji,liquid propane gas,liquid propane gas,,,"Sejak tahun 1980-an, penduduk Ujung Pandang mulai menggunakan ELPIJI sebagai pengganti minyak tanah"
eltor,"eltor, k.o. cholera","^eltor, k.o. cholera",,,Si Ardi terkena ELTOR sejak kemarin
elu,(Jkt.) you,you,,,
elus,MENG-: stroke,"^MENG-: stroke MENG-2: 1. caress, stroke 2. coax MENG-I: make a stroking motion on hair or face MENG-KAN: stroke with s.t. *-AN: 1. caress 2. flattery",,,*ELUSAN Evi pada rambut Kendall akhirnya menidurkan dia
emak,mother.,mother.,,,
emas,gold. KE--AN: golden.,*gold. KE--AN: golden.,Logam mulia yang berwarna kuning.,,Bunga ini berwarna kuning KEEMASAN.
embara,"MENG-: roam, rove, wander. MENG--I: wander over, roam in. Also PENG-, +.","^MENG-: roam, rove, wander. MENG--I: wander over, roam in. *PENG-: a wanderer, advendurer. *PENG--AN: 1 wandering. 2 a place of wandering, adventuring.",Pergi kelain tempat tanpa suatu tujuan tertentu.,,PENGEMBARAAN Joko Lola berakhir di pantai utara Jawa.
ember,"bucket, pail.","bucket, pail.","Wadah untuk membawa air/benda cair/ barang, biasanya terbuat dari plastik atau karet yang berbentuk silinder.",,
embun,dew.,dew.,,,
embus,1. see EMBUS1: to blow; 2. see EMBUS2: go away!,see EMBUS1: to blow; and EMBUS2: go away!,,,
embus,,"aspirate BER-, MENG- 1 exhale, breathe 2 blow (wind) MENG- -KAN 1 blow (smoke) off 2 exhale -AN 1 bellows 2 blast of wind 3 aspiration 4 suggestion PENG- -AN exhalation",,,
embus,,"go away! MENG- flee, take flight",,,
emosi,emotion.,emotion.,,,
emosionil,emotional.,emotional.,Menyentuh perasaan; membuat haru.,,Pidatonya disampaikan secara sangat EMOSIONIL.
empang,1. fish pond; 2. embankment; 3. dam,1. fish pond; 2. embankment; 3. dam,,,
empat,four. PER--AN: a four-way intersection.,four. *PER--AN: a four-way intersection.,Jumlah bilangan tiga ditambah satu.,,Sesudah sampai di PEREMPATAN jalan itu beloklah kekanan.
emping,"chips, crackers","chips, crackers",,,
empu,"master, master craftsman. EMPU JARI = thumb; EMPU KAKI = big toe.","master, master craftsman. EMPU JARI = thumb; EMPU KAKI = big toe.",,,
empuk,"1. soft 2. tender, well-done (of meat) 3. easy to defeat or cheat","*^1. soft 2. tender, well-done (of meat) 3. easy to defeat or cheat 4. well-worn (of cloth) 5. soft and pleasant (of voice or sounds) **MENG-KAN: soften s.t., tenderize s.t. PENG-: 1. softener 2. padding, stuffing PENG-AN: softening",,,**Ibuku MENGEMPUKKAN daging dengan daun pepaya
empunya,owner.,*owner.,Yang memiliki.,,Dulah si EMPUNYA kerbau ini.
emulsi,emulsion,^emulsion MENG-: emulsify,,,
enak,"tasty, delicious; nice, pleasant. SE--NYA: as o. pleases.","^1 tasty, delicious. 2 nice, pleasant. *SE--NYA: as o. pleases.",Rasa yang nikmat di lidah/badan/perasaan.,,Berbahaya berbuat SEENAKNYA di daerah ini.
enam,six.,six.,,,Ada ENAM orang yang tidur di kamar ini.
encik,"(Ch) term of address for a paternal uncle, +",^1 (Ch) term of address for o.'s father's younger brother or s.o. from o.'s father's generation. 2 term of address for a woman teacher.,Sebutan bagi kakak; sebutan bagi guru wanita; sebutan bagi laki-laki atau perempuan yang sudah dewasa.,,ENCIK Hamidah yang akan menjadi guru di sini.
endap,"BER-_-_, MENG-_-_: to move in a crouching attitute. Also MENG--KAN.","^BER-_-_, MENG-_-_: to move in a crouching attitude. MENG--KAN: to settle, precipitate.","Barang (seperti pasir, gula, dll) yang turun kemudian tertimbun di dalam benda cair; Jalan pelan-pelan tanpa bunyi karena tidak mau diketahui orang.",,Saya mau MENGENDAPKAN kopi ini sebelum meminumnya.
endasan,a cutting board.,a cutting board.,landasan; alas.,,"Min, ambilkan ENDASAN ibu yang ada di dapur."
enga,see ENGAH.,see ENGAH.,,,
engah,"TER-: to be panting, exited, upset.","^TER-: to be panting, exited, upset.",kaget; terburu-buru nafasnya; tahu/mengerti.,,Dia TERENGAH ketika tahu ayamnya mati.
enggak,see NGGAK.,see NGGAK.,,,
enggan,"reluctant, hesitant, unwilling to do. KE--AN: reluctance.","reluctant, hesitant, unwilling to do. KE--AN: reluctance.",Tidak mau melakukan sesuatu hal; malas.,,KEENGGANANku untuk bertemu dengannya karena kesombongannya.
engkau,"you (familiar pronoun for 2nd person singular, often abbreviated as ""kau"").","^*you (familiar pronoun for 2nd person singular, often abbreviated as ""kau"").",Sinonim: kamu.,,Apakah ENGKAU merasa yang paling kuat?
engku,term of address/ref. for mother's younger brother or other respectful people.,^*1 (Ch) term of address and reference for mother's younger brother. 2 (Lit.) term of address and reference for highly respected individuals of both sexes.,Sebutan untuk orang yang dihormati. Paman (perkataan ini biasa digunakan di daerah Sumatera).,,ENGKU saya tinggal di luar Jawa.
entah,"who knows, I do not know.","^*who knows, I do not know.",Tidak tahu.,,ENTAH di mana dia berada.
entak,"MENG-: stamp on forcefully; stab; throb as if being pounded. Also MENG--KAN, +","^MENG-: 1 stamp on forcefully. 2 stab, jab. 3 throb as if being pounded. MENG--KAN: pound or stamp with s.t. TER-: to be thrown down. -AN: stamping or pounding.",menginjak; menikam.,,Terjadi ENTAKAN yang keras ketika bis ini direm tiba-tiba oleh pak sopir.
